env,algo,final_mean_return,steps_to_50pct,steps_to_80pct,steps_to_90pct
CartPole-v1,ddqn,193.3333282470703,10000,10000,15000
LunarLander-v2,reinforce,-394.1015930175781,10000,10000,10000
LunarLander-v2,trpo,117.49617004394531,340000,390000,390000
LunarLander-v2,ppo,205.7509002685547,130000,150000,350000
LunarLander-v2,ddqn,96.89559936523438,70000,80000,80000
