episode,score
252,186.0000
253,225.0000
254,40.0000
255,219.0000
256,220.0000
257,149.0000
258,295.0000
259,172.0000
260,179.0000
261,102.0000
262,77.0000
263,300.0000
264,221.0000
265,186.0000
266,10.0000
267,104.0000
268,16.0000
269,16.0000
270,210.0000
271,138.0000
272,194.0000
273,216.0000
274,209.0000
275,196.0000
276,182.0000
277,334.0000
278,374.0000
279,355.0000
280,400.0000
281,500.0000
282,287.0000
283,473.0000
284,320.0000
285,500.0000
286,500.0000
287,37.0000
288,430.0000
289,90.0000
290,195.0000
291,53.0000
292,343.0000
293,178.0000
294,273.0000
295,201.0000
296,94.0000
297,471.0000
298,239.0000
299,194.0000
300,296.0000
301,334.0000
302,35.0000
303,184.0000
304,142.0000
305,225.0000
306,212.0000
307,18.0000
308,262.0000
309,171.0000
310,162.0000
311,153.0000
312,242.0000
313,141.0000
314,152.0000
315,162.0000
316,141.0000
317,154.0000
318,169.0000
319,34.0000
320,146.0000
321,193.0000
322,186.0000
323,175.0000
324,174.0000
325,52.0000
326,165.0000
327,98.0000
328,171.0000
329,176.0000
330,164.0000
331,347.0000
332,500.0000
333,191.0000
334,207.0000
335,163.0000
336,67.0000
337,155.0000
338,180.0000
339,143.0000
340,48.0000
341,180.0000
342,158.0000
343,341.0000
344,150.0000
345,138.0000
346,141.0000
347,19.0000
348,355.0000
349,144.0000
350,243.0000
351,172.0000
352,57.0000
353,157.0000
354,172.0000
355,178.0000
356,150.0000
357,163.0000
358,286.0000
359,153.0000
360,305.0000
361,155.0000
362,170.0000
363,175.0000
364,201.0000
365,186.0000
366,175.0000
367,217.0000
368,15.0000
369,168.0000
370,205.0000
371,402.0000
372,500.0000
373,347.0000
374,337.0000
375,325.0000
376,410.0000
377,500.0000
378,500.0000
379,500.0000
380,500.0000
381,500.0000
382,335.0000
383,19.0000
384,87.0000
385,263.0000
386,500.0000
387,185.0000
388,500.0000
389,500.0000
390,500.0000
391,221.0000
392,267.0000
393,14.0000
394,266.0000
395,344.0000
396,223.0000
397,371.0000
398,14.0000
399,339.0000
400,498.0000
401,500.0000
402,250.0000
403,435.0000
404,331.0000
405,186.0000
406,204.0000
407,61.0000
408,239.0000
409,193.0000
410,206.0000
411,194.0000
412,161.0000
413,164.0000
414,184.0000
415,154.0000
416,148.0000
417,146.0000
418,172.0000
419,19.0000
420,205.0000
421,231.0000
422,146.0000
423,10.0000
424,171.0000
425,150.0000
426,165.0000
427,18.0000
428,136.0000
429,159.0000
430,221.0000
431,10.0000
432,160.0000
433,185.0000
434,158.0000
435,161.0000
436,219.0000
437,162.0000
438,56.0000
439,172.0000
440,241.0000
441,258.0000
442,151.0000
443,487.0000
444,164.0000
445,19.0000
446,266.0000
447,296.0000
448,217.0000
449,169.0000
450,140.0000
451,168.0000
452,204.0000
453,222.0000
454,222.0000
455,183.0000
456,500.0000
457,434.0000
458,459.0000
459,500.0000
460,71.0000
461,500.0000
462,188.0000
463,500.0000
464,500.0000
465,500.0000
466,500.0000
467,500.0000
468,500.0000
469,400.0000
470,500.0000
471,500.0000
472,500.0000
473,500.0000
474,500.0000
475,500.0000
476,493.0000
477,500.0000
478,500.0000
479,500.0000
480,500.0000
481,500.0000
482,76.0000
483,500.0000
484,456.0000
485,500.0000
486,500.0000
487,500.0000
488,500.0000
489,500.0000
490,500.0000
491,274.0000
492,500.0000
493,500.0000
494,205.0000
495,244.0000
496,500.0000
497,500.0000
498,500.0000
499,425.0000
500,500.0000
501,500.0000
502,500.0000
503,500.0000
504,500.0000
505,64.0000
506,500.0000
507,500.0000
508,500.0000
509,500.0000
510,500.0000
511,500.0000
512,269.0000
513,500.0000
514,426.0000
515,98.0000
516,500.0000
517,500.0000
518,500.0000
519,500.0000
520,500.0000
521,500.0000
522,500.0000
523,500.0000
524,500.0000
525,500.0000
526,200.0000
527,500.0000
528,34.0000
529,500.0000
530,500.0000
531,500.0000
532,500.0000
533,500.0000
534,500.0000
535,500.0000
536,13.0000
537,500.0000
538,500.0000
539,500.0000
540,500.0000
541,500.0000
542,500.0000
543,282.0000
544,500.0000
545,500.0000
546,500.0000
547,500.0000
548,500.0000
549,500.0000
550,500.0000
551,500.0000
552,500.0000
553,13.0000
554,382.0000
555,188.0000
556,421.0000
557,220.0000
558,11.0000
559,500.0000
560,500.0000
561,500.0000
562,500.0000
563,251.0000
564,500.0000
565,500.0000
566,500.0000
567,500.0000
568,500.0000
569,500.0000
570,500.0000
571,500.0000
572,500.0000
573,500.0000
574,500.0000
575,500.0000
576,500.0000
577,500.0000
578,500.0000
579,500.0000
580,500.0000
581,500.0000
582,500.0000
583,500.0000
584,500.0000
585,500.0000
586,500.0000
587,500.0000
588,142.0000
589,500.0000
590,500.0000
591,500.0000
592,500.0000
593,500.0000
594,500.0000
595,500.0000
596,500.0000
597,500.0000
598,500.0000
599,436.0000
600,265.0000
601,30.0000
602,361.0000
603,459.0000
604,306.0000
605,201.0000
606,500.0000
607,234.0000
608,142.0000
609,302.0000
610,423.0000
611,500.0000
612,31.0000
613,124.0000
614,500.0000
615,499.0000
616,500.0000
617,500.0000
618,500.0000
619,500.0000
620,500.0000
621,500.0000
622,500.0000
623,500.0000
624,19.0000
625,108.0000
626,500.0000
627,335.0000
628,86.0000
629,500.0000
630,241.0000
631,153.0000
632,230.0000
633,446.0000
634,321.0000
635,39.0000
636,500.0000
637,316.0000
638,371.0000
639,454.0000
640,500.0000
641,59.0000
642,34.0000
643,500.0000
644,500.0000
645,94.0000
646,500.0000
647,500.0000
648,500.0000
649,44.0000
650,162.0000
651,245.0000
652,13.0000
653,343.0000
654,68.0000
655,307.0000
656,408.0000
657,28.0000
658,500.0000
659,455.0000
660,500.0000
661,310.0000
662,500.0000
663,340.0000
664,284.0000
665,500.0000
666,182.0000
667,258.0000
668,70.0000
669,155.0000
670,232.0000
671,239.0000
672,500.0000
673,207.0000
674,66.0000
675,500.0000
676,13.0000
677,500.0000
678,500.0000
679,228.0000
680,500.0000
681,194.0000
682,500.0000
683,500.0000
684,500.0000
685,500.0000
686,401.0000
687,195.0000
688,49.0000
689,500.0000
690,500.0000
691,151.0000
692,500.0000
693,500.0000
694,488.0000
695,223.0000
696,258.0000
697,500.0000
698,354.0000
699,500.0000
700,287.0000
701,500.0000
702,500.0000
703,255.0000
704,365.0000
705,500.0000
706,233.0000
707,294.0000
708,470.0000
709,343.0000
710,48.0000
711,387.0000
712,500.0000
713,500.0000
714,500.0000
715,500.0000
716,151.0000
717,73.0000
718,500.0000
719,500.0000
720,83.0000
721,14.0000
722,148.0000
723,500.0000
724,108.0000
725,500.0000
726,500.0000
727,94.0000
728,500.0000
729,500.0000
730,500.0000
731,500.0000
732,500.0000
733,500.0000
734,500.0000
735,500.0000
736,500.0000
737,500.0000
738,500.0000
739,500.0000
740,500.0000
741,500.0000
742,500.0000
743,500.0000
744,500.0000
745,341.0000
746,500.0000
747,500.0000
748,500.0000
749,500.0000
750,354.0000
751,26.0000
752,500.0000
753,233.0000
754,500.0000
755,241.0000
756,500.0000
757,500.0000
758,500.0000
759,500.0000
760,500.0000
761,500.0000
762,500.0000
763,500.0000
764,374.0000
765,500.0000
766,500.0000
767,452.0000
768,500.0000
769,500.0000
770,197.0000
771,500.0000
772,439.0000
773,188.0000
774,393.0000
775,500.0000
776,500.0000
777,184.0000
778,500.0000
779,500.0000
780,336.0000
781,489.0000
782,500.0000
783,105.0000
784,500.0000
785,359.0000
786,125.0000
787,500.0000
788,500.0000
789,305.0000
790,178.0000
791,478.0000
792,500.0000
793,487.0000
794,152.0000
795,500.0000
796,500.0000
797,247.0000
798,301.0000
799,417.0000
800,354.0000
801,267.0000
802,500.0000
803,500.0000
804,491.0000
805,500.0000
806,500.0000
807,500.0000
808,500.0000
809,340.0000
810,500.0000
811,500.0000
812,120.0000
813,126.0000
814,500.0000
815,500.0000
816,500.0000
817,17.0000
818,500.0000
819,500.0000
820,367.0000
821,500.0000
822,500.0000
823,500.0000
824,500.0000
825,500.0000
826,500.0000
827,500.0000
828,500.0000
829,500.0000
830,500.0000
831,500.0000
832,500.0000
833,39.0000
834,500.0000
835,500.0000
836,500.0000
837,500.0000
838,500.0000
839,500.0000
840,398.0000
841,500.0000
842,143.0000
843,500.0000
844,500.0000
845,177.0000
846,91.0000
847,340.0000
848,500.0000
849,500.0000
850,106.0000
851,500.0000
852,500.0000
853,229.0000
854,327.0000
855,500.0000
856,500.0000
857,500.0000
858,500.0000
859,500.0000
860,500.0000
861,500.0000
862,500.0000
863,111.0000
864,500.0000
865,202.0000
866,500.0000
867,158.0000
868,500.0000
869,500.0000
870,500.0000
871,53.0000
872,337.0000
873,174.0000
874,452.0000
875,299.0000
876,500.0000
877,253.0000
878,418.0000
879,103.0000
880,204.0000
881,500.0000
882,241.0000
883,292.0000
884,99.0000
885,288.0000
886,500.0000
887,254.0000
888,188.0000
889,113.0000
890,201.0000
891,192.0000
892,125.0000
893,343.0000
894,18.0000
895,287.0000
896,499.0000
897,143.0000
898,290.0000
899,97.0000
900,94.0000
901,103.0000
902,110.0000
903,445.0000
904,79.0000
905,99.0000
906,500.0000
907,120.0000
908,204.0000
909,146.0000
910,90.0000
911,197.0000
912,106.0000
913,81.0000
914,213.0000
915,34.0000
916,87.0000
917,115.0000
918,191.0000
919,147.0000
920,141.0000
921,113.0000
922,103.0000
923,151.0000
924,319.0000
925,120.0000
926,221.0000
927,90.0000
928,107.0000
929,122.0000
930,127.0000
931,337.0000
932,500.0000
933,111.0000
934,231.0000
935,425.0000
936,500.0000
937,243.0000
938,228.0000
939,500.0000
940,488.0000
941,314.0000
942,500.0000
943,320.0000
944,500.0000
945,183.0000
946,328.0000
947,482.0000
948,391.0000
949,67.0000
950,11.0000
951,350.0000
952,97.0000
953,239.0000
954,173.0000
955,216.0000
956,320.0000
957,375.0000
958,215.0000
959,256.0000
960,256.0000
961,163.0000
962,189.0000
963,500.0000
964,290.0000
965,500.0000
966,32.0000
967,171.0000
968,496.0000
969,330.0000
970,177.0000
971,250.0000
972,349.0000
973,290.0000
974,293.0000
975,301.0000
976,28.0000
977,317.0000
978,266.0000
979,243.0000
980,289.0000
981,131.0000
982,356.0000
983,500.0000
984,180.0000
985,230.0000
986,328.0000
987,256.0000
988,299.0000
989,52.0000
990,420.0000
991,272.0000
992,259.0000
993,229.0000
994,500.0000
995,253.0000
996,374.0000
997,500.0000
998,141.0000
999,500.0000
1000,20.0000
