episode,score
1,11.0000
2,27.0000
3,32.0000
4,29.0000
5,15.0000
6,20.0000
7,30.0000
8,20.0000
9,17.0000
10,20.0000
11,13.0000
12,35.0000
13,28.0000
14,21.0000
15,37.0000
16,22.0000
17,19.0000
18,11.0000
19,28.0000
20,13.0000
21,18.0000
22,18.0000
23,11.0000
24,16.0000
25,23.0000
26,16.0000
27,50.0000
28,65.0000
29,18.0000
30,47.0000
31,11.0000
32,16.0000
33,22.0000
34,13.0000
35,13.0000
36,16.0000
37,19.0000
38,16.0000
39,22.0000
40,19.0000
41,15.0000
42,26.0000
43,84.0000
44,12.0000
45,34.0000
46,27.0000
47,23.0000
48,51.0000
49,11.0000
50,38.0000
51,63.0000
52,60.0000
53,39.0000
54,24.0000
55,29.0000
56,31.0000
57,42.0000
58,68.0000
59,93.0000
60,58.0000
61,25.0000
62,25.0000
63,29.0000
64,15.0000
65,61.0000
66,42.0000
67,34.0000
68,69.0000
69,35.0000
70,21.0000
71,48.0000
72,14.0000
73,46.0000
74,17.0000
75,107.0000
76,15.0000
77,31.0000
78,80.0000
79,58.0000
80,123.0000
81,21.0000
82,34.0000
83,17.0000
84,35.0000
85,50.0000
86,54.0000
87,140.0000
88,36.0000
89,16.0000
90,14.0000
91,109.0000
92,26.0000
93,15.0000
94,17.0000
95,78.0000
96,55.0000
97,30.0000
98,43.0000
99,32.0000
100,137.0000
101,81.0000
102,181.0000
103,131.0000
104,170.0000
105,151.0000
106,139.0000
107,18.0000
108,128.0000
109,10.0000
110,22.0000
111,66.0000
112,12.0000
113,22.0000
114,55.0000
115,63.0000
116,17.0000
117,137.0000
118,26.0000
119,13.0000
120,26.0000
121,71.0000
122,27.0000
123,51.0000
124,26.0000
125,37.0000
126,78.0000
127,13.0000
128,15.0000
129,96.0000
130,33.0000
131,36.0000
132,45.0000
133,35.0000
134,11.0000
135,76.0000
136,16.0000
137,12.0000
138,139.0000
139,177.0000
140,16.0000
141,80.0000
142,39.0000
143,147.0000
144,214.0000
145,181.0000
146,51.0000
147,119.0000
148,77.0000
149,180.0000
150,71.0000
151,45.0000
152,26.0000
153,61.0000
154,29.0000
155,169.0000
156,249.0000
157,204.0000
158,187.0000
159,121.0000
160,152.0000
161,34.0000
162,165.0000
163,133.0000
164,222.0000
165,60.0000
166,52.0000
167,142.0000
168,149.0000
169,26.0000
170,18.0000
171,179.0000
172,26.0000
173,210.0000
174,227.0000
175,49.0000
176,77.0000
177,50.0000
178,40.0000
179,164.0000
180,34.0000
181,147.0000
182,16.0000
183,204.0000
184,100.0000
185,183.0000
186,148.0000
187,79.0000
188,142.0000
189,209.0000
190,44.0000
191,141.0000
192,133.0000
193,23.0000
194,46.0000
195,154.0000
196,196.0000
197,169.0000
198,53.0000
199,64.0000
200,14.0000
201,143.0000
202,37.0000
203,41.0000
204,31.0000
205,136.0000
206,30.0000
207,14.0000
208,167.0000
209,29.0000
210,161.0000
211,75.0000
212,247.0000
213,252.0000
214,425.0000
215,48.0000
216,10.0000
217,24.0000
218,20.0000
219,14.0000
220,36.0000
221,18.0000
222,27.0000
223,149.0000
224,87.0000
225,146.0000
226,135.0000
227,174.0000
228,140.0000
229,162.0000
230,189.0000
231,14.0000
232,89.0000
233,167.0000
234,39.0000
235,24.0000
236,39.0000
237,305.0000
238,151.0000
239,136.0000
240,206.0000
241,228.0000
242,19.0000
243,17.0000
244,40.0000
245,71.0000
246,12.0000
247,16.0000
248,157.0000
249,154.0000
250,15.0000
251,16.0000
