C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Pendulum-v1
  ob_dim    = 3
  ac_dim    = 1
  max_action= 2.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_pendulum-v1_seed4_Pendulum-v1_10-05-2026_20-35-32
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -1157.768
---------------------------------------
Total T:   15000 | Ep:   75 | Steps:  200 | Reward:  -946.09
---------------------------------------
Evaluation over 10 episodes: -1157.844
---------------------------------------
Total T:   15200 | Ep:   76 | Steps:  200 | Reward:  -897.30
Total T:   15400 | Ep:   77 | Steps:  200 | Reward:  -969.03
Total T:   15600 | Ep:   78 | Steps:  200 | Reward:  -921.47
Total T:   15800 | Ep:   79 | Steps:  200 | Reward: -1805.40
Total T:   16000 | Ep:   80 | Steps:  200 | Reward: -1310.52
Total T:   16200 | Ep:   81 | Steps:  200 | Reward: -1167.75
Total T:   16400 | Ep:   82 | Steps:  200 | Reward: -1112.00
Total T:   16600 | Ep:   83 | Steps:  200 | Reward: -1013.67
Total T:   16800 | Ep:   84 | Steps:  200 | Reward: -1043.07
Total T:   17000 | Ep:   85 | Steps:  200 | Reward: -1407.02
Total T:   17200 | Ep:   86 | Steps:  200 | Reward: -1226.30
Total T:   17400 | Ep:   87 | Steps:  200 | Reward: -1198.98
Total T:   17600 | Ep:   88 | Steps:  200 | Reward:  -765.55
Total T:   17800 | Ep:   89 | Steps:  200 | Reward: -1534.56
Total T:   18000 | Ep:   90 | Steps:  200 | Reward: -1631.11
Total T:   18200 | Ep:   91 | Steps:  200 | Reward: -1719.12
Total T:   18400 | Ep:   92 | Steps:  200 | Reward: -1360.98
Total T:   18600 | Ep:   93 | Steps:  200 | Reward: -1601.74
Total T:   18800 | Ep:   94 | Steps:  200 | Reward: -1535.07
Total T:   19000 | Ep:   95 | Steps:  200 | Reward: -1167.86
Total T:   19200 | Ep:   96 | Steps:  200 | Reward: -1179.86
Total T:   19400 | Ep:   97 | Steps:  200 | Reward: -1220.74
Total T:   19600 | Ep:   98 | Steps:  200 | Reward: -1511.01
Total T:   19800 | Ep:   99 | Steps:  200 | Reward: -1060.54
Total T:   20000 | Ep:  100 | Steps:  200 | Reward: -1802.41
---------------------------------------
Evaluation over 10 episodes: -1270.159
---------------------------------------
Total T:   20200 | Ep:  101 | Steps:  200 | Reward:  -957.39
Total T:   20400 | Ep:  102 | Steps:  200 | Reward:  -934.83
Total T:   20600 | Ep:  103 | Steps:  200 | Reward: -1723.20
Total T:   20800 | Ep:  104 | Steps:  200 | Reward: -1732.68
Total T:   21000 | Ep:  105 | Steps:  200 | Reward:  -969.66
Total T:   21200 | Ep:  106 | Steps:  200 | Reward:  -804.22
Total T:   21400 | Ep:  107 | Steps:  200 | Reward: -1838.45
Total T:   21600 | Ep:  108 | Steps:  200 | Reward: -1173.84
Total T:   21800 | Ep:  109 | Steps:  200 | Reward: -1734.62
Total T:   22000 | Ep:  110 | Steps:  200 | Reward: -1086.76
Total T:   22200 | Ep:  111 | Steps:  200 | Reward:  -867.92
Total T:   22400 | Ep:  112 | Steps:  200 | Reward: -1516.00
Total T:   22600 | Ep:  113 | Steps:  200 | Reward: -1249.32
Total T:   22800 | Ep:  114 | Steps:  200 | Reward: -1283.69
Total T:   23000 | Ep:  115 | Steps:  200 | Reward: -1334.63
Total T:   23200 | Ep:  116 | Steps:  200 | Reward: -1430.17
Total T:   23400 | Ep:  117 | Steps:  200 | Reward:  -859.82
Total T:   23600 | Ep:  118 | Steps:  200 | Reward:  -859.60
Total T:   23800 | Ep:  119 | Steps:  200 | Reward: -1042.30
Total T:   24000 | Ep:  120 | Steps:  200 | Reward: -1177.26
Total T:   24200 | Ep:  121 | Steps:  200 | Reward: -1567.99
Total T:   24400 | Ep:  122 | Steps:  200 | Reward: -1071.20
Total T:   24600 | Ep:  123 | Steps:  200 | Reward: -1172.18
Total T:   24800 | Ep:  124 | Steps:  200 | Reward: -1666.48
Total T:   25000 | Ep:  125 | Steps:  200 | Reward: -1646.33
---------------------------------------
Evaluation over 10 episodes: -1183.106
---------------------------------------
Total T:   25200 | Ep:  126 | Steps:  200 | Reward: -1048.03
Total T:   25400 | Ep:  127 | Steps:  200 | Reward: -1598.16
Total T:   25600 | Ep:  128 | Steps:  200 | Reward: -1532.47
Total T:   25800 | Ep:  129 | Steps:  200 | Reward: -1577.69
Total T:   26000 | Ep:  130 | Steps:  200 | Reward: -1571.41
Total T:   26200 | Ep:  131 | Steps:  200 | Reward: -1608.24
Total T:   26400 | Ep:  132 | Steps:  200 | Reward: -1611.80
Total T:   26600 | Ep:  133 | Steps:  200 | Reward: -1060.17
Total T:   26800 | Ep:  134 | Steps:  200 | Reward: -1488.32
Total T:   27000 | Ep:  135 | Steps:  200 | Reward: -1526.45
Total T:   27200 | Ep:  136 | Steps:  200 | Reward: -1334.65
Total T:   27400 | Ep:  137 | Steps:  200 | Reward: -1289.78
Total T:   27600 | Ep:  138 | Steps:  200 | Reward: -1203.94
Total T:   27800 | Ep:  139 | Steps:  200 | Reward: -1121.43
Total T:   28000 | Ep:  140 | Steps:  200 | Reward: -1120.28
Total T:   28200 | Ep:  141 | Steps:  200 | Reward: -1131.08
Total T:   28400 | Ep:  142 | Steps:  200 | Reward: -1454.95
Total T:   28600 | Ep:  143 | Steps:  200 | Reward:  -795.38
Total T:   28800 | Ep:  144 | Steps:  200 | Reward:  -794.53
Total T:   29000 | Ep:  145 | Steps:  200 | Reward:  -531.32
Total T:   29200 | Ep:  146 | Steps:  200 | Reward:  -656.91
Total T:   29400 | Ep:  147 | Steps:  200 | Reward:  -128.18
Total T:   29600 | Ep:  148 | Steps:  200 | Reward:  -260.38
Total T:   29800 | Ep:  149 | Steps:  200 | Reward:    -1.25
Total T:   30000 | Ep:  150 | Steps:  200 | Reward:  -263.71
---------------------------------------
Evaluation over 10 episodes: -190.282
---------------------------------------
Total T:   30200 | Ep:  151 | Steps:  200 | Reward:    -1.10
Total T:   30400 | Ep:  152 | Steps:  200 | Reward:  -300.91
Total T:   30600 | Ep:  153 | Steps:  200 | Reward:  -390.48
Total T:   30800 | Ep:  154 | Steps:  200 | Reward:  -360.61
Total T:   31000 | Ep:  155 | Steps:  200 | Reward:  -270.65
Total T:   31200 | Ep:  156 | Steps:  200 | Reward:  -326.71
Total T:   31400 | Ep:  157 | Steps:  200 | Reward:    -0.43
Total T:   31600 | Ep:  158 | Steps:  200 | Reward:  -126.35
Total T:   31800 | Ep:  159 | Steps:  200 | Reward:    -1.05
Total T:   32000 | Ep:  160 | Steps:  200 | Reward:  -129.74
Total T:   32200 | Ep:  161 | Steps:  200 | Reward:  -265.83
Total T:   32400 | Ep:  162 | Steps:  200 | Reward:  -125.04
Total T:   32600 | Ep:  163 | Steps:  200 | Reward:  -130.25
Total T:   32800 | Ep:  164 | Steps:  200 | Reward:  -127.19
Total T:   33000 | Ep:  165 | Steps:  200 | Reward:  -237.60
Total T:   33200 | Ep:  166 | Steps:  200 | Reward:  -122.72
Total T:   33400 | Ep:  167 | Steps:  200 | Reward:  -119.15
Total T:   33600 | Ep:  168 | Steps:  200 | Reward:    -1.06
Total T:   33800 | Ep:  169 | Steps:  200 | Reward:  -342.46
Total T:   34000 | Ep:  170 | Steps:  200 | Reward:  -122.66
Total T:   34200 | Ep:  171 | Steps:  200 | Reward:    -3.83
Total T:   34400 | Ep:  172 | Steps:  200 | Reward:  -128.16
Total T:   34600 | Ep:  173 | Steps:  200 | Reward:  -127.59
Total T:   34800 | Ep:  174 | Steps:  200 | Reward:    -2.33
Total T:   35000 | Ep:  175 | Steps:  200 | Reward:    -0.91
---------------------------------------
Evaluation over 10 episodes: -164.912
---------------------------------------
Total T:   35200 | Ep:  176 | Steps:  200 | Reward:  -239.57
Total T:   35400 | Ep:  177 | Steps:  200 | Reward:  -253.45
Total T:   35600 | Ep:  178 | Steps:  200 | Reward:  -123.40
Total T:   35800 | Ep:  179 | Steps:  200 | Reward:  -125.37
Total T:   36000 | Ep:  180 | Steps:  200 | Reward:  -125.97
Total T:   36200 | Ep:  181 | Steps:  200 | Reward:  -243.12
Total T:   36400 | Ep:  182 | Steps:  200 | Reward:  -126.75
Total T:   36600 | Ep:  183 | Steps:  200 | Reward:  -235.03
Total T:   36800 | Ep:  184 | Steps:  200 | Reward:  -121.58
