C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed1_Walker2d-v4_11-05-2026_14-02-46
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 3.984
---------------------------------------
Total T:    1677 | Ep:   80 | Steps:   28 | Reward:    -1.30
Total T:    1693 | Ep:   81 | Steps:   16 | Reward:     5.10
Total T:    1705 | Ep:   82 | Steps:   12 | Reward:    -1.61
Total T:    1754 | Ep:   83 | Steps:   49 | Reward:     4.45
Total T:    1790 | Ep:   84 | Steps:   36 | Reward:     6.42
Total T:    1819 | Ep:   85 | Steps:   29 | Reward:     4.23
Total T:    1832 | Ep:   86 | Steps:   13 | Reward:     4.34
Total T:    1854 | Ep:   87 | Steps:   22 | Reward:    10.10
Total T:    1877 | Ep:   88 | Steps:   23 | Reward:     5.20
Total T:    1887 | Ep:   89 | Steps:   10 | Reward:    -0.08
Total T:    1897 | Ep:   90 | Steps:   10 | Reward:     0.09
Total T:    1916 | Ep:   91 | Steps:   19 | Reward:     1.70
Total T:    1930 | Ep:   92 | Steps:   14 | Reward:    -0.64
Total T:    1954 | Ep:   93 | Steps:   24 | Reward:    -0.23
Total T:    1975 | Ep:   94 | Steps:   21 | Reward:     6.45
Total T:    2013 | Ep:   95 | Steps:   38 | Reward:    10.23
Total T:    2030 | Ep:   96 | Steps:   17 | Reward:     4.10
Total T:    2045 | Ep:   97 | Steps:   15 | Reward:    -1.50
Total T:    2062 | Ep:   98 | Steps:   17 | Reward:     3.32
Total T:    2086 | Ep:   99 | Steps:   24 | Reward:     1.22
Total T:    2106 | Ep:  100 | Steps:   20 | Reward:    -2.74
Total T:    2126 | Ep:  101 | Steps:   20 | Reward:    -2.20
Total T:    2148 | Ep:  102 | Steps:   22 | Reward:   -10.83
Total T:    2174 | Ep:  103 | Steps:   26 | Reward:    -5.61
Total T:    2194 | Ep:  104 | Steps:   20 | Reward:    -7.23
Total T:    2216 | Ep:  105 | Steps:   22 | Reward:    -4.41
Total T:    2236 | Ep:  106 | Steps:   20 | Reward:     5.64
Total T:    2256 | Ep:  107 | Steps:   20 | Reward:     7.91
Total T:    2276 | Ep:  108 | Steps:   20 | Reward:    -1.85
Total T:    2296 | Ep:  109 | Steps:   20 | Reward:     0.90
Total T:    2314 | Ep:  110 | Steps:   18 | Reward:    -0.06
Total T:    2325 | Ep:  111 | Steps:   11 | Reward:     1.37
Total T:    2354 | Ep:  112 | Steps:   29 | Reward:    14.41
Total T:    2367 | Ep:  113 | Steps:   13 | Reward:     0.91
Total T:    2387 | Ep:  114 | Steps:   20 | Reward:     0.75
Total T:    2406 | Ep:  115 | Steps:   19 | Reward:    -2.37
