/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed4_Hopper-v4_10-05-2026_21-37-21
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 16.032
---------------------------------------
Total T:      24 | Ep:    1 | Steps:   24 | Reward:    24.15
Total T:      65 | Ep:    2 | Steps:   41 | Reward:    18.99
Total T:     102 | Ep:    3 | Steps:   37 | Reward:    33.75
Total T:     120 | Ep:    4 | Steps:   18 | Reward:    14.34
Total T:     135 | Ep:    5 | Steps:   15 | Reward:     9.08
Total T:     171 | Ep:    6 | Steps:   36 | Reward:    12.61
Total T:     201 | Ep:    7 | Steps:   30 | Reward:    24.82
Total T:     218 | Ep:    8 | Steps:   17 | Reward:     9.47
Total T:     236 | Ep:    9 | Steps:   18 | Reward:    14.53
Total T:     276 | Ep:   10 | Steps:   40 | Reward:    52.91
Total T:     321 | Ep:   11 | Steps:   45 | Reward:    60.54
Total T:     350 | Ep:   12 | Steps:   29 | Reward:    13.01
Total T:     362 | Ep:   13 | Steps:   12 | Reward:     6.68
Total T:     396 | Ep:   14 | Steps:   34 | Reward:    18.51
Total T:     434 | Ep:   15 | Steps:   38 | Reward:    27.40
Total T:     479 | Ep:   16 | Steps:   45 | Reward:    33.57
Total T:     495 | Ep:   17 | Steps:   16 | Reward:    13.36
Total T:     524 | Ep:   18 | Steps:   29 | Reward:    27.59
Total T:     536 | Ep:   19 | Steps:   12 | Reward:     9.43
Total T:     549 | Ep:   20 | Steps:   13 | Reward:     8.78
Total T:     566 | Ep:   21 | Steps:   17 | Reward:    16.51
Total T:     575 | Ep:   22 | Steps:    9 | Reward:     6.23
Total T:     601 | Ep:   23 | Steps:   26 | Reward:    22.58
Total T:     624 | Ep:   24 | Steps:   23 | Reward:    18.19
Total T:     644 | Ep:   25 | Steps:   20 | Reward:    18.27
Total T:     661 | Ep:   26 | Steps:   17 | Reward:    17.90
Total T:     686 | Ep:   27 | Steps:   25 | Reward:    14.69
Total T:     708 | Ep:   28 | Steps:   22 | Reward:    20.39
Total T:     719 | Ep:   29 | Steps:   11 | Reward:     9.50
Total T:     745 | Ep:   30 | Steps:   26 | Reward:    14.30
Total T:     797 | Ep:   31 | Steps:   52 | Reward:    81.17
Total T:     823 | Ep:   32 | Steps:   26 | Reward:    19.45
Total T:     843 | Ep:   33 | Steps:   20 | Reward:    22.08
Total T:     865 | Ep:   34 | Steps:   22 | Reward:    22.19
Total T:     955 | Ep:   35 | Steps:   90 | Reward:   185.08
Total T:     973 | Ep:   36 | Steps:   18 | Reward:     9.26
Total T:    1000 | Ep:   37 | Steps:   27 | Reward:    19.13
Total T:    1017 | Ep:   38 | Steps:   17 | Reward:    16.60
Total T:    1112 | Ep:   39 | Steps:   95 | Reward:   183.41
Total T:    1132 | Ep:   40 | Steps:   20 | Reward:    16.01
Total T:    1152 | Ep:   41 | Steps:   20 | Reward:     7.51
Total T:    1175 | Ep:   42 | Steps:   23 | Reward:    25.13
Total T:    1213 | Ep:   43 | Steps:   38 | Reward:    52.27
Total T:    1227 | Ep:   44 | Steps:   14 | Reward:     7.38
Total T:    1246 | Ep:   45 | Steps:   19 | Reward:    11.34
Total T:    1272 | Ep:   46 | Steps:   26 | Reward:    16.09
Total T:    1289 | Ep:   47 | Steps:   17 | Reward:    13.44
Total T:    1311 | Ep:   48 | Steps:   22 | Reward:    12.28
Total T:    1332 | Ep:   49 | Steps:   21 | Reward:    11.89
Total T:    1363 | Ep:   50 | Steps:   31 | Reward:    20.24
Total T:    1380 | Ep:   51 | Steps:   17 | Reward:     7.84
Total T:    1399 | Ep:   52 | Steps:   19 | Reward:     6.01
Total T:    1421 | Ep:   53 | Steps:   22 | Reward:    13.60
Total T:    1433 | Ep:   54 | Steps:   12 | Reward:     7.35
Total T:    1449 | Ep:   55 | Steps:   16 | Reward:    14.36
Total T:    1460 | Ep:   56 | Steps:   11 | Reward:     7.41
Total T:    1473 | Ep:   57 | Steps:   13 | Reward:     9.72
Total T:    1495 | Ep:   58 | Steps:   22 | Reward:    20.74
Total T:    1511 | Ep:   59 | Steps:   16 | Reward:    15.22
Total T:    1552 | Ep:   60 | Steps:   41 | Reward:    50.78
Total T:    1596 | Ep:   61 | Steps:   44 | Reward:    29.41
Total T:    1611 | Ep:   62 | Steps:   15 | Reward:    10.36
Total T:    1639 | Ep:   63 | Steps:   28 | Reward:    26.89
Total T:    1656 | Ep:   64 | Steps:   17 | Reward:     9.62
Total T:    1702 | Ep:   65 | Steps:   46 | Reward:    57.04
Total T:    1718 | Ep:   66 | Steps:   16 | Reward:    15.77
Total T:    1749 | Ep:   67 | Steps:   31 | Reward:    14.42
Total T:    1769 | Ep:   68 | Steps:   20 | Reward:    20.85
Total T:    1791 | Ep:   69 | Steps:   22 | Reward:    24.68
Total T:    1805 | Ep:   70 | Steps:   14 | Reward:    11.82
Total T:    1820 | Ep:   71 | Steps:   15 | Reward:    14.10
Total T:    1841 | Ep:   72 | Steps:   21 | Reward:    13.31
Total T:    1855 | Ep:   73 | Steps:   14 | Reward:     8.72
Total T:    1880 | Ep:   74 | Steps:   25 | Reward:    14.24
Total T:    1916 | Ep:   75 | Steps:   36 | Reward:    33.12
Total T:    1932 | Ep:   76 | Steps:   16 | Reward:    12.68
Total T:    1947 | Ep:   77 | Steps:   15 | Reward:    13.15
Total T:    1965 | Ep:   78 | Steps:   18 | Reward:    12.73
Total T:    1985 | Ep:   79 | Steps:   20 | Reward:    12.32
Total T:    2002 | Ep:   80 | Steps:   17 | Reward:    14.64
Total T:    2018 | Ep:   81 | Steps:   16 | Reward:    11.96
Total T:    2033 | Ep:   82 | Steps:   15 | Reward:    10.60
Total T:    2054 | Ep:   83 | Steps:   21 | Reward:    22.19
Total T:    2079 | Ep:   84 | Steps:   25 | Reward:    16.31
Total T:    2111 | Ep:   85 | Steps:   32 | Reward:     8.16
Total T:    2126 | Ep:   86 | Steps:   15 | Reward:     9.11
Total T:    2146 | Ep:   87 | Steps:   20 | Reward:    10.76
Total T:    2161 | Ep:   88 | Steps:   15 | Reward:    12.64
