C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed4_Walker2d-v4_11-05-2026_14-07-05
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 3.992
---------------------------------------
Total T:      12 | Ep:    1 | Steps:   12 | Reward:     1.63
Total T:      32 | Ep:    2 | Steps:   20 | Reward:     8.13
Total T:      48 | Ep:    3 | Steps:   16 | Reward:     5.23
Total T:      99 | Ep:    4 | Steps:   51 | Reward:    -0.60
Total T:     119 | Ep:    5 | Steps:   20 | Reward:    -9.36
Total T:     128 | Ep:    6 | Steps:    9 | Reward:    -1.53
Total T:     147 | Ep:    7 | Steps:   19 | Reward:     6.14
Total T:     175 | Ep:    8 | Steps:   28 | Reward:    -3.11
Total T:     185 | Ep:    9 | Steps:   10 | Reward:    -1.51
Total T:     195 | Ep:   10 | Steps:   10 | Reward:    -2.39
Total T:     206 | Ep:   11 | Steps:   11 | Reward:    -2.73
Total T:     225 | Ep:   12 | Steps:   19 | Reward:     5.80
Total T:     244 | Ep:   13 | Steps:   19 | Reward:     3.06
Total T:     265 | Ep:   14 | Steps:   21 | Reward:    -3.20
Total T:     305 | Ep:   15 | Steps:   40 | Reward:    28.80
Total T:     330 | Ep:   16 | Steps:   25 | Reward:     7.48
Total T:     342 | Ep:   17 | Steps:   12 | Reward:     2.08
Total T:     358 | Ep:   18 | Steps:   16 | Reward:    -6.19
Total T:     391 | Ep:   19 | Steps:   33 | Reward:    15.50
Total T:     410 | Ep:   20 | Steps:   19 | Reward:     4.48
Total T:     424 | Ep:   21 | Steps:   14 | Reward:    -2.64
Total T:     435 | Ep:   22 | Steps:   11 | Reward:     1.11
Total T:     454 | Ep:   23 | Steps:   19 | Reward:     4.81
Total T:     478 | Ep:   24 | Steps:   24 | Reward:    10.35
Total T:     492 | Ep:   25 | Steps:   14 | Reward:    -0.45
Total T:     510 | Ep:   26 | Steps:   18 | Reward:    -0.59
Total T:     529 | Ep:   27 | Steps:   19 | Reward:     5.35
Total T:     547 | Ep:   28 | Steps:   18 | Reward:    -0.97
Total T:     578 | Ep:   29 | Steps:   31 | Reward:     0.04
Total T:     626 | Ep:   30 | Steps:   48 | Reward:     5.96
Total T:     649 | Ep:   31 | Steps:   23 | Reward:    -0.68
Total T:     664 | Ep:   32 | Steps:   15 | Reward:     5.36
Total T:     687 | Ep:   33 | Steps:   23 | Reward:    -2.98
Total T:     697 | Ep:   34 | Steps:   10 | Reward:    -3.46
Total T:     709 | Ep:   35 | Steps:   12 | Reward:     2.21
Total T:     734 | Ep:   36 | Steps:   25 | Reward:     0.91
Total T:     769 | Ep:   37 | Steps:   35 | Reward:     3.87
Total T:     787 | Ep:   38 | Steps:   18 | Reward:     6.42
