C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed2_Walker2d-v4_11-05-2026_14-02-59
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -5.197
---------------------------------------
Total T:    1707 | Ep:   80 | Steps:   43 | Reward:     8.62
Total T:    1745 | Ep:   81 | Steps:   38 | Reward:     3.87
Total T:    1770 | Ep:   82 | Steps:   25 | Reward:     4.58
Total T:    1781 | Ep:   83 | Steps:   11 | Reward:     1.10
Total T:    1794 | Ep:   84 | Steps:   13 | Reward:    -1.42
Total T:    1807 | Ep:   85 | Steps:   13 | Reward:     0.39
Total T:    1820 | Ep:   86 | Steps:   13 | Reward:    -1.18
Total T:    1837 | Ep:   87 | Steps:   17 | Reward:     6.41
Total T:    1852 | Ep:   88 | Steps:   15 | Reward:    -1.36
Total T:    1876 | Ep:   89 | Steps:   24 | Reward:    11.51
Total T:    1896 | Ep:   90 | Steps:   20 | Reward:    -1.72
Total T:    1910 | Ep:   91 | Steps:   14 | Reward:     1.90
Total T:    1929 | Ep:   92 | Steps:   19 | Reward:     7.07
Total T:    1962 | Ep:   93 | Steps:   33 | Reward:     7.25
Total T:    1985 | Ep:   94 | Steps:   23 | Reward:     3.75
Total T:    2000 | Ep:   95 | Steps:   15 | Reward:    -1.23
Total T:    2009 | Ep:   96 | Steps:    9 | Reward:     0.22
Total T:    2046 | Ep:   97 | Steps:   37 | Reward:     6.60
Total T:    2081 | Ep:   98 | Steps:   35 | Reward:     8.41
Total T:    2097 | Ep:   99 | Steps:   16 | Reward:    -3.85
Total T:    2109 | Ep:  100 | Steps:   12 | Reward:    -0.69
Total T:    2124 | Ep:  101 | Steps:   15 | Reward:    -0.62
Total T:    2137 | Ep:  102 | Steps:   13 | Reward:     0.01
Total T:    2161 | Ep:  103 | Steps:   24 | Reward:    -8.67
Total T:    2183 | Ep:  104 | Steps:   22 | Reward:     3.55
Total T:    2204 | Ep:  105 | Steps:   21 | Reward:    -8.30
Total T:    2214 | Ep:  106 | Steps:   10 | Reward:    -2.83
Total T:    2250 | Ep:  107 | Steps:   36 | Reward:    23.98
Total T:    2267 | Ep:  108 | Steps:   17 | Reward:     1.82
Total T:    2288 | Ep:  109 | Steps:   21 | Reward:     0.28
Total T:    2303 | Ep:  110 | Steps:   15 | Reward:     4.53
Total T:    2316 | Ep:  111 | Steps:   13 | Reward:    -1.66
Total T:    2358 | Ep:  112 | Steps:   42 | Reward:     7.69
Total T:    2371 | Ep:  113 | Steps:   13 | Reward:    -1.49
Total T:    2384 | Ep:  114 | Steps:   13 | Reward:     2.25
Total T:    2399 | Ep:  115 | Steps:   15 | Reward:     0.85
Total T:    2410 | Ep:  116 | Steps:   11 | Reward:     0.06
Total T:    2436 | Ep:  117 | Steps:   26 | Reward:     0.67
Total T:    2468 | Ep:  118 | Steps:   32 | Reward:     6.90
Total T:    2483 | Ep:  119 | Steps:   15 | Reward:    -3.46
Total T:    2504 | Ep:  120 | Steps:   21 | Reward:     4.67
Total T:    2527 | Ep:  121 | Steps:   23 | Reward:    -0.67
Total T:    2543 | Ep:  122 | Steps:   16 | Reward:    -4.08
Total T:    2559 | Ep:  123 | Steps:   16 | Reward:     3.83
Total T:    2577 | Ep:  124 | Steps:   18 | Reward:    -0.46
Total T:    2600 | Ep:  125 | Steps:   23 | Reward:    -4.65
Total T:    2614 | Ep:  126 | Steps:   14 | Reward:     3.34
Total T:    2655 | Ep:  127 | Steps:   41 | Reward:    -1.96
Total T:    2692 | Ep:  128 | Steps:   37 | Reward:     9.39
Total T:    2708 | Ep:  129 | Steps:   16 | Reward:    -3.45
Total T:    2742 | Ep:  130 | Steps:   34 | Reward:     6.48
Total T:    2761 | Ep:  131 | Steps:   19 | Reward:     5.55
Total T:    2783 | Ep:  132 | Steps:   22 | Reward:     1.29
