/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed2_Hopper-v4_10-05-2026_21-36-47
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 57.138
---------------------------------------
Total T:      25 | Ep:    1 | Steps:   25 | Reward:    18.70
Total T:      38 | Ep:    2 | Steps:   13 | Reward:     8.31
Total T:      48 | Ep:    3 | Steps:   10 | Reward:     7.10
Total T:      67 | Ep:    4 | Steps:   19 | Reward:    11.77
Total T:      95 | Ep:    5 | Steps:   28 | Reward:    17.44
Total T:     113 | Ep:    6 | Steps:   18 | Reward:    10.36
Total T:     137 | Ep:    7 | Steps:   24 | Reward:    26.10
Total T:     175 | Ep:    8 | Steps:   38 | Reward:    14.40
Total T:     185 | Ep:    9 | Steps:   10 | Reward:     7.42
Total T:     212 | Ep:   10 | Steps:   27 | Reward:    32.74
Total T:     233 | Ep:   11 | Steps:   21 | Reward:    19.87
Total T:     247 | Ep:   12 | Steps:   14 | Reward:     8.35
Total T:     260 | Ep:   13 | Steps:   13 | Reward:     8.16
Total T:     304 | Ep:   14 | Steps:   44 | Reward:    46.39
Total T:     333 | Ep:   15 | Steps:   29 | Reward:    35.84
Total T:     354 | Ep:   16 | Steps:   21 | Reward:    14.53
Total T:     366 | Ep:   17 | Steps:   12 | Reward:    10.51
Total T:     383 | Ep:   18 | Steps:   17 | Reward:     9.15
Total T:     415 | Ep:   19 | Steps:   32 | Reward:     6.94
Total T:     438 | Ep:   20 | Steps:   23 | Reward:    20.88
Total T:     452 | Ep:   21 | Steps:   14 | Reward:    11.72
Total T:     484 | Ep:   22 | Steps:   32 | Reward:    15.48
Total T:     505 | Ep:   23 | Steps:   21 | Reward:    11.77
Total T:     527 | Ep:   24 | Steps:   22 | Reward:    16.45
Total T:     558 | Ep:   25 | Steps:   31 | Reward:    26.28
Total T:     591 | Ep:   26 | Steps:   33 | Reward:    13.51
Total T:     615 | Ep:   27 | Steps:   24 | Reward:    22.62
Total T:     626 | Ep:   28 | Steps:   11 | Reward:     8.50
Total T:     656 | Ep:   29 | Steps:   30 | Reward:    32.70
Total T:     678 | Ep:   30 | Steps:   22 | Reward:     9.19
Total T:     689 | Ep:   31 | Steps:   11 | Reward:     7.60
Total T:     718 | Ep:   32 | Steps:   29 | Reward:    18.79
Total T:     734 | Ep:   33 | Steps:   16 | Reward:     9.59
Total T:     764 | Ep:   34 | Steps:   30 | Reward:    28.05
Total T:     786 | Ep:   35 | Steps:   22 | Reward:    14.59
Total T:     799 | Ep:   36 | Steps:   13 | Reward:    12.48
Total T:     823 | Ep:   37 | Steps:   24 | Reward:    17.36
Total T:     888 | Ep:   38 | Steps:   65 | Reward:    76.08
Total T:     942 | Ep:   39 | Steps:   54 | Reward:    49.80
Total T:     959 | Ep:   40 | Steps:   17 | Reward:    15.25
Total T:     983 | Ep:   41 | Steps:   24 | Reward:     7.19
Total T:    1004 | Ep:   42 | Steps:   21 | Reward:    11.46
Total T:    1019 | Ep:   43 | Steps:   15 | Reward:     8.26
Total T:    1030 | Ep:   44 | Steps:   11 | Reward:     8.19
Total T:    1056 | Ep:   45 | Steps:   26 | Reward:    21.87
Total T:    1087 | Ep:   46 | Steps:   31 | Reward:    12.40
Total T:    1104 | Ep:   47 | Steps:   17 | Reward:     8.72
Total T:    1124 | Ep:   48 | Steps:   20 | Reward:     6.01
Total T:    1146 | Ep:   49 | Steps:   22 | Reward:    14.96
Total T:    1167 | Ep:   50 | Steps:   21 | Reward:    20.78
Total T:    1199 | Ep:   51 | Steps:   32 | Reward:    13.67
Total T:    1215 | Ep:   52 | Steps:   16 | Reward:    11.14
Total T:    1232 | Ep:   53 | Steps:   17 | Reward:    17.15
