/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed1_Hopper-v4_10-05-2026_21-27-54
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 21.455
---------------------------------------
Total T:      28 | Ep:    1 | Steps:   28 | Reward:    23.63
Total T:      46 | Ep:    2 | Steps:   18 | Reward:    16.06
Total T:      77 | Ep:    3 | Steps:   31 | Reward:    18.55
Total T:     104 | Ep:    4 | Steps:   27 | Reward:    22.64
Total T:     133 | Ep:    5 | Steps:   29 | Reward:    25.08
Total T:     167 | Ep:    6 | Steps:   34 | Reward:    38.47
Total T:     188 | Ep:    7 | Steps:   21 | Reward:    17.15
Total T:     212 | Ep:    8 | Steps:   24 | Reward:    23.47
Total T:     233 | Ep:    9 | Steps:   21 | Reward:     9.94
Total T:     244 | Ep:   10 | Steps:   11 | Reward:     6.58
Total T:     269 | Ep:   11 | Steps:   25 | Reward:    12.48
Total T:     288 | Ep:   12 | Steps:   19 | Reward:    20.78
Total T:     317 | Ep:   13 | Steps:   29 | Reward:    26.54
Total T:     333 | Ep:   14 | Steps:   16 | Reward:    14.68
Total T:     352 | Ep:   15 | Steps:   19 | Reward:    12.69
Total T:     370 | Ep:   16 | Steps:   18 | Reward:    10.96
Total T:     383 | Ep:   17 | Steps:   13 | Reward:     6.81
Total T:     412 | Ep:   18 | Steps:   29 | Reward:    26.16
Total T:     426 | Ep:   19 | Steps:   14 | Reward:    11.69
Total T:     434 | Ep:   20 | Steps:    8 | Reward:     5.98
Total T:     448 | Ep:   21 | Steps:   14 | Reward:     6.85
Total T:     462 | Ep:   22 | Steps:   14 | Reward:    11.18
Total T:     485 | Ep:   23 | Steps:   23 | Reward:    13.60
Total T:     515 | Ep:   24 | Steps:   30 | Reward:    28.76
Total T:     525 | Ep:   25 | Steps:   10 | Reward:     7.28
Total T:     584 | Ep:   26 | Steps:   59 | Reward:    93.96
Total T:     602 | Ep:   27 | Steps:   18 | Reward:    14.90
Total T:     712 | Ep:   28 | Steps:  110 | Reward:   100.20
Total T:     723 | Ep:   29 | Steps:   11 | Reward:     8.22
Total T:     753 | Ep:   30 | Steps:   30 | Reward:    19.90
Total T:     789 | Ep:   31 | Steps:   36 | Reward:    29.82
Total T:     821 | Ep:   32 | Steps:   32 | Reward:    40.16
Total T:     860 | Ep:   33 | Steps:   39 | Reward:    20.65
Total T:     884 | Ep:   34 | Steps:   24 | Reward:    10.45
Total T:     904 | Ep:   35 | Steps:   20 | Reward:     7.55
Total T:     917 | Ep:   36 | Steps:   13 | Reward:    11.50
Total T:     933 | Ep:   37 | Steps:   16 | Reward:    14.29
Total T:     951 | Ep:   38 | Steps:   18 | Reward:    15.72
Total T:     966 | Ep:   39 | Steps:   15 | Reward:    10.85
Total T:     987 | Ep:   40 | Steps:   21 | Reward:    10.42
Total T:    1001 | Ep:   41 | Steps:   14 | Reward:    11.06
Total T:    1023 | Ep:   42 | Steps:   22 | Reward:    21.66
Total T:    1040 | Ep:   43 | Steps:   17 | Reward:    14.89
Total T:    1050 | Ep:   44 | Steps:   10 | Reward:     7.24
Total T:    1069 | Ep:   45 | Steps:   19 | Reward:    18.65
Total T:    1081 | Ep:   46 | Steps:   12 | Reward:     6.34
Total T:    1097 | Ep:   47 | Steps:   16 | Reward:     7.09
Total T:    1111 | Ep:   48 | Steps:   14 | Reward:     8.19
Total T:    1132 | Ep:   49 | Steps:   21 | Reward:    17.69
Total T:    1153 | Ep:   50 | Steps:   21 | Reward:     8.33
Total T:    1278 | Ep:   51 | Steps:  125 | Reward:   196.20
Total T:    1301 | Ep:   52 | Steps:   23 | Reward:    26.33
Total T:    1310 | Ep:   53 | Steps:    9 | Reward:     6.86
Total T:    1322 | Ep:   54 | Steps:   12 | Reward:     7.50
Total T:    1341 | Ep:   55 | Steps:   19 | Reward:    13.06
Total T:    1367 | Ep:   56 | Steps:   26 | Reward:    33.21
Total T:    1401 | Ep:   57 | Steps:   34 | Reward:    21.21
Total T:    1426 | Ep:   58 | Steps:   25 | Reward:    16.56
Total T:    1437 | Ep:   59 | Steps:   11 | Reward:     7.17
Total T:    1448 | Ep:   60 | Steps:   11 | Reward:     8.07
Total T:    1493 | Ep:   61 | Steps:   45 | Reward:    64.65
Total T:    1517 | Ep:   62 | Steps:   24 | Reward:    18.86
Total T:    1548 | Ep:   63 | Steps:   31 | Reward:     8.62
Total T:    1572 | Ep:   64 | Steps:   24 | Reward:    23.74
Total T:    1584 | Ep:   65 | Steps:   12 | Reward:    10.01
Total T:    1604 | Ep:   66 | Steps:   20 | Reward:    16.53
Total T:    1613 | Ep:   67 | Steps:    9 | Reward:     7.02
Total T:    1625 | Ep:   68 | Steps:   12 | Reward:     9.74
Total T:    1662 | Ep:   69 | Steps:   37 | Reward:    40.77
Total T:    1704 | Ep:   70 | Steps:   42 | Reward:    38.54
Total T:    1740 | Ep:   71 | Steps:   36 | Reward:    38.04
Total T:    1760 | Ep:   72 | Steps:   20 | Reward:    18.96
Total T:    1788 | Ep:   73 | Steps:   28 | Reward:    23.93
Total T:    1801 | Ep:   74 | Steps:   13 | Reward:     7.16
Total T:    1820 | Ep:   75 | Steps:   19 | Reward:    19.53
Total T:    1842 | Ep:   76 | Steps:   22 | Reward:    11.26
Total T:    1862 | Ep:   77 | Steps:   20 | Reward:    12.66
Total T:    1882 | Ep:   78 | Steps:   20 | Reward:    21.18
Total T:    1899 | Ep:   79 | Steps:   17 | Reward:    16.59
Total T:    1917 | Ep:   80 | Steps:   18 | Reward:    16.85
Total T:    1933 | Ep:   81 | Steps:   16 | Reward:     8.89
Total T:    1955 | Ep:   82 | Steps:   22 | Reward:    22.77
Total T:    1966 | Ep:   83 | Steps:   11 | Reward:     8.11
Total T:    1978 | Ep:   84 | Steps:   12 | Reward:     7.19
Total T:    1995 | Ep:   85 | Steps:   17 | Reward:    15.95
Total T:    2014 | Ep:   86 | Steps:   19 | Reward:     8.44
Total T:    2034 | Ep:   87 | Steps:   20 | Reward:    12.13
Total T:    2056 | Ep:   88 | Steps:   22 | Reward:    16.31
Total T:    2092 | Ep:   89 | Steps:   36 | Reward:    14.65
Total T:    2123 | Ep:   90 | Steps:   31 | Reward:     7.05
