/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed3_Hopper-v4_10-05-2026_21-37-11
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 12.866
---------------------------------------
Total T:    1963 | Ep:   81 | Steps:   54 | Reward:    48.91
Total T:    1973 | Ep:   82 | Steps:   10 | Reward:     7.67
Total T:    1997 | Ep:   83 | Steps:   24 | Reward:    12.99
Total T:    2007 | Ep:   84 | Steps:   10 | Reward:     7.55
Total T:    2026 | Ep:   85 | Steps:   19 | Reward:    20.01
Total T:    2087 | Ep:   86 | Steps:   61 | Reward:    79.34
Total T:    2105 | Ep:   87 | Steps:   18 | Reward:    12.71
Total T:    2145 | Ep:   88 | Steps:   40 | Reward:    38.96
Total T:    2158 | Ep:   89 | Steps:   13 | Reward:     8.72
Total T:    2172 | Ep:   90 | Steps:   14 | Reward:     7.05
Total T:    2197 | Ep:   91 | Steps:   25 | Reward:    23.64
Total T:    2211 | Ep:   92 | Steps:   14 | Reward:    12.16
Total T:    2225 | Ep:   93 | Steps:   14 | Reward:    11.22
Total T:    2245 | Ep:   94 | Steps:   20 | Reward:     8.90
Total T:    2276 | Ep:   95 | Steps:   31 | Reward:    12.02
Total T:    2295 | Ep:   96 | Steps:   19 | Reward:    16.43
Total T:    2322 | Ep:   97 | Steps:   27 | Reward:    22.00
Total T:    2358 | Ep:   98 | Steps:   36 | Reward:    29.05
Total T:    2370 | Ep:   99 | Steps:   12 | Reward:     9.17
Total T:    2395 | Ep:  100 | Steps:   25 | Reward:    20.32
Total T:    2407 | Ep:  101 | Steps:   12 | Reward:     9.55
Total T:    2417 | Ep:  102 | Steps:   10 | Reward:     7.99
Total T:    2444 | Ep:  103 | Steps:   27 | Reward:    11.52
Total T:    2460 | Ep:  104 | Steps:   16 | Reward:    10.10
Total T:    2487 | Ep:  105 | Steps:   27 | Reward:    21.26
Total T:    2504 | Ep:  106 | Steps:   17 | Reward:    17.35
Total T:    2525 | Ep:  107 | Steps:   21 | Reward:    13.52
Total T:    2545 | Ep:  108 | Steps:   20 | Reward:    15.83
Total T:    2566 | Ep:  109 | Steps:   21 | Reward:    17.00
Total T:    2584 | Ep:  110 | Steps:   18 | Reward:    15.55
Total T:    2594 | Ep:  111 | Steps:   10 | Reward:     6.59
Total T:    2611 | Ep:  112 | Steps:   17 | Reward:    11.66
Total T:    2638 | Ep:  113 | Steps:   27 | Reward:    20.21
Total T:    2663 | Ep:  114 | Steps:   25 | Reward:    27.65
Total T:    2710 | Ep:  115 | Steps:   47 | Reward:    22.96
Total T:    2730 | Ep:  116 | Steps:   20 | Reward:     9.89
Total T:    2761 | Ep:  117 | Steps:   31 | Reward:    38.06
Total T:    2773 | Ep:  118 | Steps:   12 | Reward:     9.17
Total T:    2811 | Ep:  119 | Steps:   38 | Reward:    24.03
Total T:    2822 | Ep:  120 | Steps:   11 | Reward:     9.54
Total T:    2835 | Ep:  121 | Steps:   13 | Reward:    11.46
Total T:    2855 | Ep:  122 | Steps:   20 | Reward:     8.17
Total T:    2866 | Ep:  123 | Steps:   11 | Reward:     7.44
Total T:    2889 | Ep:  124 | Steps:   23 | Reward:    21.93
Total T:    2902 | Ep:  125 | Steps:   13 | Reward:    10.08
Total T:    2926 | Ep:  126 | Steps:   24 | Reward:    12.52
Total T:    2943 | Ep:  127 | Steps:   17 | Reward:    16.13
Total T:    2959 | Ep:  128 | Steps:   16 | Reward:    12.00
Total T:    2974 | Ep:  129 | Steps:   15 | Reward:    11.31
Total T:    3023 | Ep:  130 | Steps:   49 | Reward:    44.26
Total T:    3041 | Ep:  131 | Steps:   18 | Reward:    20.25
Total T:    3064 | Ep:  132 | Steps:   23 | Reward:    19.61
Total T:    3076 | Ep:  133 | Steps:   12 | Reward:     8.17
Total T:    3094 | Ep:  134 | Steps:   18 | Reward:    13.02
Total T:    3108 | Ep:  135 | Steps:   14 | Reward:     9.61
Total T:    3120 | Ep:  136 | Steps:   12 | Reward:     9.31
Total T:    3156 | Ep:  137 | Steps:   36 | Reward:    35.96
Total T:    3172 | Ep:  138 | Steps:   16 | Reward:    10.36
Total T:    3190 | Ep:  139 | Steps:   18 | Reward:    12.70
Total T:    3221 | Ep:  140 | Steps:   31 | Reward:    12.06
Total T:    3240 | Ep:  141 | Steps:   19 | Reward:    10.93
Total T:    3258 | Ep:  142 | Steps:   18 | Reward:    17.67
Total T:    3271 | Ep:  143 | Steps:   13 | Reward:    11.61
Total T:    3308 | Ep:  144 | Steps:   37 | Reward:    36.82
Total T:    3339 | Ep:  145 | Steps:   31 | Reward:     7.19
Total T:    3360 | Ep:  146 | Steps:   21 | Reward:     9.56
Total T:    3376 | Ep:  147 | Steps:   16 | Reward:    16.28
Total T:    3405 | Ep:  148 | Steps:   29 | Reward:    20.88
Total T:    3427 | Ep:  149 | Steps:   22 | Reward:    15.40
Total T:    3477 | Ep:  150 | Steps:   50 | Reward:    58.26
Total T:    3502 | Ep:  151 | Steps:   25 | Reward:     4.56
Total T:    3520 | Ep:  152 | Steps:   18 | Reward:    10.07
Total T:    3546 | Ep:  153 | Steps:   26 | Reward:    12.84
Total T:    3558 | Ep:  154 | Steps:   12 | Reward:     7.69
Total T:    3568 | Ep:  155 | Steps:   10 | Reward:     8.42
Total T:    3586 | Ep:  156 | Steps:   18 | Reward:    17.23
Total T:    3603 | Ep:  157 | Steps:   17 | Reward:    12.22
Total T:    3619 | Ep:  158 | Steps:   16 | Reward:     9.61
Total T:    3638 | Ep:  159 | Steps:   19 | Reward:    16.93
Total T:    3664 | Ep:  160 | Steps:   26 | Reward:    21.70
Total T:    3692 | Ep:  161 | Steps:   28 | Reward:    14.68
Total T:    3716 | Ep:  162 | Steps:   24 | Reward:    21.34
Total T:    3735 | Ep:  163 | Steps:   19 | Reward:    12.19
Total T:    3773 | Ep:  164 | Steps:   38 | Reward:    18.73
Total T:    3783 | Ep:  165 | Steps:   10 | Reward:     8.13
Total T:    3802 | Ep:  166 | Steps:   19 | Reward:    13.73
Total T:    3819 | Ep:  167 | Steps:   17 | Reward:    14.28
Total T:    3832 | Ep:  168 | Steps:   13 | Reward:     9.72
Total T:    3851 | Ep:  169 | Steps:   19 | Reward:     7.53
Total T:    3900 | Ep:  170 | Steps:   49 | Reward:    76.99
Total T:    3917 | Ep:  171 | Steps:   17 | Reward:    11.19
Total T:    3931 | Ep:  172 | Steps:   14 | Reward:     9.01
Total T:    3943 | Ep:  173 | Steps:   12 | Reward:     8.68
Total T:    3976 | Ep:  174 | Steps:   33 | Reward:    31.15
Total T:    3993 | Ep:  175 | Steps:   17 | Reward:     8.98
Total T:    4011 | Ep:  176 | Steps:   18 | Reward:    11.75
Total T:    4039 | Ep:  177 | Steps:   28 | Reward:    24.28
Total T:    4061 | Ep:  178 | Steps:   22 | Reward:    16.07
Total T:    4077 | Ep:  179 | Steps:   16 | Reward:    15.71
Total T:    4099 | Ep:  180 | Steps:   22 | Reward:    25.51
