/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed0_Hopper-v4_10-05-2026_21-26-23
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 18.670
---------------------------------------
Total T:    1756 | Ep:   81 | Steps:   39 | Reward:    31.56
Total T:    1769 | Ep:   82 | Steps:   13 | Reward:    10.81
Total T:    1785 | Ep:   83 | Steps:   16 | Reward:    12.37
Total T:    1797 | Ep:   84 | Steps:   12 | Reward:    10.58
Total T:    1867 | Ep:   85 | Steps:   70 | Reward:    89.51
Total T:    1881 | Ep:   86 | Steps:   14 | Reward:    13.03
Total T:    1909 | Ep:   87 | Steps:   28 | Reward:    35.70
Total T:    1924 | Ep:   88 | Steps:   15 | Reward:     6.50
Total T:    1942 | Ep:   89 | Steps:   18 | Reward:    11.05
Total T:    1966 | Ep:   90 | Steps:   24 | Reward:    13.46
Total T:    1978 | Ep:   91 | Steps:   12 | Reward:     8.70
Total T:    1995 | Ep:   92 | Steps:   17 | Reward:    12.42
Total T:    2037 | Ep:   93 | Steps:   42 | Reward:    40.87
Total T:    2045 | Ep:   94 | Steps:    8 | Reward:     5.86
Total T:    2077 | Ep:   95 | Steps:   32 | Reward:     8.50
Total T:    2094 | Ep:   96 | Steps:   17 | Reward:    10.47
Total T:    2119 | Ep:   97 | Steps:   25 | Reward:    17.15
Total T:    2147 | Ep:   98 | Steps:   28 | Reward:    24.94
Total T:    2161 | Ep:   99 | Steps:   14 | Reward:    11.63
Total T:    2179 | Ep:  100 | Steps:   18 | Reward:    12.40
Total T:    2200 | Ep:  101 | Steps:   21 | Reward:    22.82
Total T:    2223 | Ep:  102 | Steps:   23 | Reward:    17.55
Total T:    2253 | Ep:  103 | Steps:   30 | Reward:    21.85
Total T:    2281 | Ep:  104 | Steps:   28 | Reward:    29.58
Total T:    2308 | Ep:  105 | Steps:   27 | Reward:    31.66
Total T:    2349 | Ep:  106 | Steps:   41 | Reward:    63.11
Total T:    2368 | Ep:  107 | Steps:   19 | Reward:    19.49
Total T:    2381 | Ep:  108 | Steps:   13 | Reward:     9.92
Total T:    2401 | Ep:  109 | Steps:   20 | Reward:    20.52
Total T:    2455 | Ep:  110 | Steps:   54 | Reward:    58.02
Total T:    2537 | Ep:  111 | Steps:   82 | Reward:   103.64
Total T:    2565 | Ep:  112 | Steps:   28 | Reward:    26.42
Total T:    2576 | Ep:  113 | Steps:   11 | Reward:     9.88
Total T:    2597 | Ep:  114 | Steps:   21 | Reward:    10.21
Total T:    2626 | Ep:  115 | Steps:   29 | Reward:    25.60
Total T:    2639 | Ep:  116 | Steps:   13 | Reward:     8.76
Total T:    2656 | Ep:  117 | Steps:   17 | Reward:    10.94
Total T:    2675 | Ep:  118 | Steps:   19 | Reward:    14.53
Total T:    2696 | Ep:  119 | Steps:   21 | Reward:    21.89
Total T:    2704 | Ep:  120 | Steps:    8 | Reward:     5.53
Total T:    2728 | Ep:  121 | Steps:   24 | Reward:    25.89
Total T:    2744 | Ep:  122 | Steps:   16 | Reward:    11.49
Total T:    2770 | Ep:  123 | Steps:   26 | Reward:    18.71
Total T:    2790 | Ep:  124 | Steps:   20 | Reward:     7.57
Total T:    2826 | Ep:  125 | Steps:   36 | Reward:    15.38
Total T:    2851 | Ep:  126 | Steps:   25 | Reward:    14.04
Total T:    2868 | Ep:  127 | Steps:   17 | Reward:    17.91
Total T:    2887 | Ep:  128 | Steps:   19 | Reward:    15.91
Total T:    2905 | Ep:  129 | Steps:   18 | Reward:    17.13
Total T:    2930 | Ep:  130 | Steps:   25 | Reward:    12.01
Total T:    2970 | Ep:  131 | Steps:   40 | Reward:    20.86
Total T:    2996 | Ep:  132 | Steps:   26 | Reward:    12.51
Total T:    3013 | Ep:  133 | Steps:   17 | Reward:    18.64
Total T:    3026 | Ep:  134 | Steps:   13 | Reward:    10.34
Total T:    3065 | Ep:  135 | Steps:   39 | Reward:    13.89
Total T:    3083 | Ep:  136 | Steps:   18 | Reward:     8.42
Total T:    3096 | Ep:  137 | Steps:   13 | Reward:     6.79
Total T:    3108 | Ep:  138 | Steps:   12 | Reward:     9.59
Total T:    3122 | Ep:  139 | Steps:   14 | Reward:    11.54
Total T:    3135 | Ep:  140 | Steps:   13 | Reward:     7.74
Total T:    3151 | Ep:  141 | Steps:   16 | Reward:    10.24
Total T:    3188 | Ep:  142 | Steps:   37 | Reward:    25.67
Total T:    3199 | Ep:  143 | Steps:   11 | Reward:     9.30
Total T:    3213 | Ep:  144 | Steps:   14 | Reward:     7.54
Total T:    3226 | Ep:  145 | Steps:   13 | Reward:    12.44
Total T:    3246 | Ep:  146 | Steps:   20 | Reward:    22.05
Total T:    3258 | Ep:  147 | Steps:   12 | Reward:     9.65
Total T:    3289 | Ep:  148 | Steps:   31 | Reward:    15.03
Total T:    3306 | Ep:  149 | Steps:   17 | Reward:    18.47
Total T:    3328 | Ep:  150 | Steps:   22 | Reward:    13.16
Total T:    3369 | Ep:  151 | Steps:   41 | Reward:    25.51
Total T:    3396 | Ep:  152 | Steps:   27 | Reward:    18.68
Total T:    3414 | Ep:  153 | Steps:   18 | Reward:     9.24
