episode,score
1,12.0000
2,20.0000
3,16.0000
4,11.0000
5,13.0000
6,16.0000
7,17.0000
8,22.0000
9,22.0000
10,13.0000
11,19.0000
12,47.0000
13,29.0000
14,9.0000
15,25.0000
16,18.0000
17,20.0000
18,11.0000
19,16.0000
20,27.0000
21,15.0000
22,22.0000
23,16.0000
24,10.0000
25,21.0000
26,17.0000
27,15.0000
28,10.0000
29,22.0000
30,30.0000
31,27.0000
32,11.0000
33,50.0000
34,24.0000
35,21.0000
36,24.0000
37,17.0000
38,18.0000
39,20.0000
40,9.0000
41,28.0000
42,21.0000
43,61.0000
44,55.0000
45,27.0000
46,11.0000
47,16.0000
48,13.0000
49,23.0000
50,19.0000
51,26.0000
52,30.0000
53,9.0000
54,20.0000
55,31.0000
56,39.0000
57,14.0000
58,41.0000
59,25.0000
60,34.0000
61,121.0000
62,52.0000
63,22.0000
64,22.0000
65,13.0000
66,57.0000
67,18.0000
68,117.0000
69,80.0000
70,20.0000
71,61.0000
72,96.0000
73,68.0000
74,20.0000
75,98.0000
76,27.0000
77,98.0000
78,20.0000
79,38.0000
80,22.0000
81,14.0000
82,83.0000
83,38.0000
84,89.0000
85,64.0000
86,19.0000
87,17.0000
88,23.0000
89,56.0000
90,43.0000
91,51.0000
92,64.0000
93,19.0000
94,84.0000
95,72.0000
96,40.0000
97,29.0000
98,95.0000
99,35.0000
100,35.0000
101,129.0000
102,53.0000
103,40.0000
104,15.0000
105,83.0000
106,15.0000
107,76.0000
108,48.0000
109,88.0000
110,26.0000
111,120.0000
112,66.0000
113,148.0000
114,12.0000
115,135.0000
116,49.0000
117,79.0000
118,55.0000
119,26.0000
120,32.0000
121,14.0000
122,191.0000
123,15.0000
124,48.0000
125,81.0000
126,17.0000
127,170.0000
128,75.0000
129,92.0000
130,59.0000
131,68.0000
132,180.0000
133,121.0000
134,28.0000
135,80.0000
136,33.0000
137,90.0000
138,65.0000
139,41.0000
140,35.0000
141,13.0000
142,18.0000
143,93.0000
144,248.0000
145,10.0000
146,17.0000
147,176.0000
148,19.0000
149,166.0000
150,174.0000
151,57.0000
152,67.0000
153,33.0000
154,128.0000
155,36.0000
156,20.0000
157,167.0000
158,174.0000
159,27.0000
160,92.0000
161,132.0000
162,20.0000
163,20.0000
164,160.0000
165,176.0000
166,15.0000
167,34.0000
168,172.0000
169,42.0000
170,165.0000
171,13.0000
172,111.0000
173,167.0000
174,156.0000
175,137.0000
176,17.0000
177,103.0000
178,136.0000
179,111.0000
180,19.0000
181,172.0000
182,17.0000
183,45.0000
184,155.0000
185,149.0000
186,42.0000
187,15.0000
188,19.0000
189,200.0000
190,143.0000
191,139.0000
192,159.0000
193,151.0000
194,33.0000
195,67.0000
196,15.0000
197,143.0000
198,160.0000
199,29.0000
200,34.0000
201,16.0000
202,36.0000
203,178.0000
204,215.0000
205,18.0000
206,166.0000
207,33.0000
208,28.0000
209,39.0000
210,54.0000
211,27.0000
212,159.0000
213,174.0000
214,152.0000
215,161.0000
216,160.0000
217,176.0000
218,205.0000
219,182.0000
220,12.0000
221,168.0000
222,24.0000
223,39.0000
224,184.0000
225,170.0000
226,153.0000
227,60.0000
228,141.0000
229,11.0000
230,23.0000
231,169.0000
232,166.0000
233,139.0000
234,52.0000
235,157.0000
236,165.0000
237,46.0000
238,156.0000
239,15.0000
240,152.0000
241,141.0000
242,96.0000
243,155.0000
244,10.0000
245,175.0000
246,133.0000
247,169.0000
248,156.0000
249,181.0000
250,156.0000
251,165.0000
252,48.0000
253,166.0000
254,40.0000
255,37.0000
256,24.0000
257,36.0000
258,177.0000
259,263.0000
260,11.0000
261,12.0000
262,143.0000
263,160.0000
264,158.0000
265,23.0000
266,41.0000
267,147.0000
268,165.0000
269,175.0000
270,158.0000
271,212.0000
272,40.0000
273,167.0000
274,136.0000
275,193.0000
276,314.0000
277,223.0000
278,120.0000
279,197.0000
280,157.0000
281,141.0000
282,186.0000
283,155.0000
284,19.0000
285,180.0000
286,14.0000
287,181.0000
288,14.0000
289,143.0000
290,173.0000
291,282.0000
292,17.0000
293,159.0000
294,204.0000
295,17.0000
296,162.0000
297,45.0000
298,139.0000
299,500.0000
300,21.0000
